source,target,fen
F2,F3,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
C7,C6,rnbqkbnr/pppppppp/8/8/8/5P2/PPPPP1PP/RNBQKBNR b KQkq - 0 1
B1,A3,rnbqkbnr/pp1ppppp/2p5/8/8/5P2/PPPPP1PP/RNBQKBNR w KQkq - 0 2
G7,G6,rnbqkbnr/pp1ppppp/2p5/8/8/N4P2/PPPPP1PP/R1BQKBNR b KQkq - 1 2
H2,H3,rnbqkbnr/pp1ppp1p/2p3p1/8/8/N4P2/PPPPP1PP/R1BQKBNR w KQkq - 0 3
G8,H6,rnbqkbnr/pp1ppp1p/2p3p1/8/8/N4P1P/PPPPP1P1/R1BQKBNR b KQkq - 0 3
G2,G3,rnbqkb1r/pp1ppp1p/2p3pn/8/8/N4P1P/PPPPP1P1/R1BQKBNR w KQkq - 1 4
E7,E6,rnbqkb1r/pp1ppp1p/2p3pn/8/8/N4PPP/PPPPP3/R1BQKBNR b KQkq - 0 4
D2,D4,rnbqkb1r/pp1p1p1p/2p1p1pn/8/8/N4PPP/PPPPP3/R1BQKBNR w KQkq - 0 5
H6,G8,rnbqkb1r/pp1p1p1p/2p1p1pn/8/3P4/N4PPP/PPP1P3/R1BQKBNR b KQkq d3 0 5
A3,B1,rnbqkbnr/pp1p1p1p/2p1p1p1/8/3P4/N4PPP/PPP1P3/R1BQKBNR w KQkq - 1 6
D7,D6,rnbqkbnr/pp1p1p1p/2p1p1p1/8/3P4/5PPP/PPP1P3/RNBQKBNR b KQkq - 2 6
C2,C3,rnbqkbnr/pp3p1p/2ppp1p1/8/3P4/5PPP/PPP1P3/RNBQKBNR w KQkq - 0 7
E8,D7,rnbqkbnr/pp3p1p/2ppp1p1/8/3P4/2P2PPP/PP2P3/RNBQKBNR b KQkq - 0 7
C3,C4,rnbq1bnr/pp1k1p1p/2ppp1p1/8/3P4/2P2PPP/PP2P3/RNBQKBNR w KQ - 1 8
F8,E7,rnbq1bnr/pp1k1p1p/2ppp1p1/8/2PP4/5PPP/PP2P3/RNBQKBNR b KQ - 0 8
B2,B4,rnbq2nr/pp1kbp1p/2ppp1p1/8/2PP4/5PPP/PP2P3/RNBQKBNR w KQ - 1 9
D8,B6,rnbq2nr/pp1kbp1p/2ppp1p1/8/1PPP4/5PPP/P3P3/RNBQKBNR b KQ b3 0 9
G3,G4,rnb3nr/pp1kbp1p/1qppp1p1/8/1PPP4/5PPP/P3P3/RNBQKBNR w KQ - 1 10
F7,F5,rnb3nr/pp1kbp1p/1qppp1p1/8/1PPP2P1/5P1P/P3P3/RNBQKBNR b KQ - 0 10
F1,G2,rnb3nr/pp1kb2p/1qppp1p1/5p2/1PPP2P1/5P1P/P3P3/RNBQKBNR w KQ f6 0 11
B6,D4,rnb3nr/pp1kb2p/1qppp1p1/5p2/1PPP2P1/5P1P/P3P1B1/RNBQK1NR b KQ - 1 11
